DEALER NAME,LOCATION,PHONE,DISTANCE,INVENTORY,ZIP,CITY,INVENTORY URL
ONE SUBARU OF HAYWARD,"25000 MISSION BLVD HAYWARD, CA 94544",(510) 697-0856 | 20.5 miles,20.5 miles,264,94544,"San Francisco, CA",https://www.carzing.com/dealer/one-subaru-of-hayward/1459eebd82cbfaaffe00c87c9e443100
KONCEPT MOTOR CARS,"8475 HIGHWAY 6 S HOUSTON, TX 77083",(713) 943-8200 | 1629.5 miles,1629.5 miles,78,77083,"San Francisco, CA",https://www.carzing.com/dealer/koncept-motor-cars/879647c84c297a55310a7e48aecf2ab9
ROADSTAR MOTORS LLC,"3175 DIXIE HWY HAMILTON, OH 45015",(513) 330-6477 | 2033 miles,2033 miles,23,45015,"San Francisco, CA",https://www.carzing.com/dealer/roadstar-motors-llc/2c7b3b26db450009484ca7b199d7711e
HUNTER DODGE CHRYSTLER JEEP RAM FIAT,"1130 AUTO MALL DR LANCASTER, CA 93534",(661) 544-4726 | 320.6 miles,320.6 miles,374,93534,"San Francisco, CA",https://www.carzing.com/dealer/hunter-dodge-chrystler-jeep-ram-fiat/79a3c624448e9b051bfb1ac5d122055e
BUDGET RENT A CAR,"12541 ROSECRANS AVE NORWALK, CA 90650",(562) 407-2800 | 362.3 miles,362.3 miles,84,90650,"San Francisco, CA",https://www.carzing.com/dealer/budget-rent-a-car/facbfb6d6124523bcdfc8e635ff8acce
PRESTIGE OF BATON ROUGE LLC,"9155 FLORIDA BLVD BATON ROUGE, LA 70815",(225) 927-9399 | 1852 miles,1852 miles,47,70815,"San Francisco, CA",https://www.carzing.com/dealer/prestige-of-baton-rouge-llc/5e6b86bef1b18fd78475ad5f26d64a48
G7 MOTOR SALES,"12400 W COLONIAL DR WINTER GARDEN, FL 34787",(407) 921-1710 | 2426.1 miles,2426.1 miles,88,34787,"San Francisco, CA",https://www.carzing.com/dealer/g7-motor-sales/2e189a2fe1e9f88c338fb0594dc6ab02
NEXTGEN AUTO SALES INC,"5405 HULL STREET RD RICHMOND, VA 23224",(804) 877-9777 | 2433.1 miles,2433.1 miles,16,23224,"San Francisco, CA",https://www.carzing.com/dealer/nextgen-auto-sales-inc/f621787763387fa3cccb6d0b5e678877
4TH AVE MOTORS INC,"1010 BRISTOL PIKE BRISTOL, PA 19007",(215) 785-3650 | 2529.5 miles,2529.5 miles,8,19007,"San Francisco, CA",https://www.carzing.com/dealer/4th-ave-motors-inc/2c72a88c442f0d1d05e7d0cea74fc5d0
NJ AUTO DEPOT LLC,"1300 OCEAN AVE LAKEWOOD, NJ 08701",(732) 675-0388 | 2565.5 miles,2565.5 miles,49,08701,"San Francisco, CA",https://www.carzing.com/dealer/nj-auto-depot-llc/1ecbef695b247b958735348bc29ea4ce
EXPRESS AUTO CENTER - FREMONT,"2527 FREMONT ST LAS VEGAS, NV 89104",(702) 255-2277 | 417.9 miles,417.9 miles,75,89104,"San Francisco, CA",https://www.carzing.com/dealer/express-auto-center-fremont/03a32135a1844a4b5341f5d57827aab8
ALPHA MOTORS LLC,"4645 MORRISON RD DENVER, CO 80219",(720) 513-0265 | 943.2 miles,943.2 miles,4,80219,"San Francisco, CA",https://www.carzing.com/dealer/alpha-motors-llc/3abdd677825873295692beee52eb3cdf
AUTO OFERTAS KANSAS LLC,"3400 MERRIAM LN KANSAS CITY, KS 66106",(913) 499-7300 | 1498.3 miles,1498.3 miles,43,66106,"San Francisco, CA",https://www.carzing.com/dealer/auto-ofertas-kansas-llc/83ccefb92ba2bc6cda87e991b922c0f8
POWERHOUSE AUTOMOTIVE,"6601 W HILLSBOROUGH AVE TAMPA, FL 33634",(813) 530-2325 | 2389.2 miles,2389.2 miles,145,33634,"San Francisco, CA",https://www.carzing.com/dealer/powerhouse-automotive/acf813b5c9a1baa5a06bbb24bded6abe
MICHIGAN AUTO,"15610 RICHMOND HWY STE 104 WOODBRIDGE, VA 22191",(571) 552-3443 | 2425.1 miles,2425.1 miles,55,22191,"San Francisco, CA",https://www.carzing.com/dealer/michigan-auto/358c5eb838ff915a00e63312b6be604e
ARLINGTON MOTORS INC,"6298 ARLINGTON BLVD FALLS CHURCH, VA 22044",(703) 533-7871 | 2428.3 miles,2428.3 miles,195,22044,"San Francisco, CA",https://www.carzing.com/dealer/arlington-motors-inc/2dc40f95678150019753c37296321971
